단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
005290,KR7005290002,동진쎄미켐,ST,1,1007,1018,1040,N,N,Y,,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,Y,37850,1,1,N,N,N,0,N,N,N,0,0,0,40,N,90,477320,500,19991221,51414,25707247000,12,,0,,N,Y,3450,512,523,413,23,20230331,19460,,N,N,N
005670,KR7005670005,푸드웰,ST,3,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5630,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,72766,500,19931207,10000,5000000000,12,,0,,N,N,526,16,11,17,5,20230331,563,,N,N,N
005710,KR7005710009,대원산업,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6520,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,9768,500,19930621,20037,10018800000,12,,0,,N,N,1957,71,76,48,5,20230331,1306,,N,N,N
005860,KR7005860002,한일사료,ST,3,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6160,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1859591,500,19941107,39403,19701842500,12,,0,,N,N,949,5,-14,-16,-12,20230331,2427,,N,N,N
005990,KR7005990007,매일홀딩스,ST,3,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,8900,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,3216,500,19990514,13718,6859152000,12,,0,,N,N,5308,175,214,156,9,20230331,1220,,N,N,N
006050,KR7006050009,국영지앤엠,ST,3,0,1009,1025,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1435,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,52606,500,19941007,34895,17447621500,12,,0,,N,N,636,21,24,19,4,20221231,500,,N,N,N
006140,KR7006140008,피제이전자,ST,3,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6460,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,168008,500,19931207,15000,7500000000,12,,0,,N,N,1577,61,92,70,6,20221231,969,,N,N,N
006580,KR7006580005,대양제지,ST,3,0,1009,1021,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3260,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19931229,26850,13425000000,12,,0,,N,N,357,-3,-4,-5,0,20230331,875,,N,N,N
006620,KR7006620009,동구바이오제약,ST,3,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,5940,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,23738,500,20180213,28464,14232496000,12,,0,,N,N,485,28,25,19,8,20230331,1690,,N,N,N
006730,KR7006730006,서부T&D,ST,2,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,7760,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,107058,500,19951006,61563,30781620500,12,,0,,N,N,356,73,-18,-22,-3,20230331,4777,,N,N,N
