단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
012860,KR7012860003,모베이스전자,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2505,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1299572,500,19941026,73233,36616728500,12,,0,,N,N,2305,84,48,51,12,20230331,1834,,N,N,N
013030,KR7013030002,하이록코리아,ST,2,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,Y,N,N,N,24650,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,202439,500,19891215,12856,6806616000,12,,0,,N,N,457,112,155,125,13,20230331,3169,,N,N,N
013120,KR7013120001,동원개발,ST,2,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3480,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,64419,500,19941229,90808,45404050000,12,,0,,N,N,1811,199,250,192,7,20230331,3160,,N,N,N
013310,KR7013310008,아진산업,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6130,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,11237429,500,20151222,38806,19403291000,12,,0,,N,N,1970,274,250,242,37,20230331,2378,,N,N,N
013720,KR7013720008,CBI,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,236,1,1,Y,N,N,0,N,N,N,0,0,0,100,N,90,0,100,19931229,300046,30004641100,12,,0,,N,N,91,-2,-20,-20,-18,20230331,708,,N,N,N
013810,KR7013810007,스페코,ST,3,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4300,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,80902,500,19971103,14655,7327735000,12,,0,,N,N,48,-13,-5,-5,-4,20230331,630,,N,N,N
013990,KR7013990007,아가방컴퍼니,ST,3,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3495,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,120885,500,20020117,32887,16443768000,12,,0,,N,N,459,17,17,7,2,20230331,1149,,N,N,N
014100,KR7014100002,메디앙스,ST,3,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,Y,N,N,N,N,N,3180,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,17804,500,19950103,11800,5900000000,12,,0,,N,N,125,-13,-23,-18,-9,20230331,375,,N,N,N
014190,KR7014190003,원익큐브,ST,3,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2015,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,64708,500,19960426,35399,17699953000,12,,0,,N,N,558,18,20,16,6,20230331,713,,N,N,N
014200,KR7014200000,광림,ST,3,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1006,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19930707,90706,45353348000,12,,0,,N,N,490,18,57,46,14,20230331,912,,N,N,N
014470,KR7014470009,부방,ST,3,1006,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2870,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,142812,500,19940225,60052,30026130000,12,,0,,N,N,776,2,17,16,4,20230331,1723,,N,N,N
014570,KR7014570006,고려제약,ST,3,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6760,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,8573,500,20001207,11000,5500000000,12,,0,,N,N,800,143,147,118,15,20221231,743,,N,N,N
014620,KR7014620009,성광벤드,ST,2,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,N,0,N,Y,N,N,N,N,N,N,14150,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1466667,500,20010111,28600,14300000000,12,,0,,N,N,684,148,165,129,11,20230331,4046,,N,N,N
